timestep,value,action
277,52.38284,[[-1.  1.  0.]]
278,52.187973,[[-0.7001993  1.         0.       ]]
279,53.38284,[[-0.91458  1.       0.     ]]
280,53.838028,[[-1.  0.  0.]]
281,54.547005,[[-1.         0.7498607  0.       ]]
282,53.856964,[[-1.  1.  0.]]
283,52.111153,[[-0.42733437  1.          0.        ]]
284,52.973755,[[0.26748934 0.         0.        ]]
285,53.722008,[[1. 1. 0.]]
286,54.70655,[[-1.  1.  0.]]
287,52.308666,[[0.09382468 1.         0.        ]]
288,53.405968,[[-1.         0.9178842  0.       ]]
289,52.8137,[[1.         0.26783466 0.        ]]
290,53.977333,[[1. 1. 0.]]
291,54.484474,[[1. 1. 0.]]
292,53.148678,[[1.        0.8698188 0.       ]]
293,53.261856,[[-0.35056293  1.          0.        ]]
294,53.735558,[[-0.11593366  0.8996948   0.        ]]
295,53.590942,[[0.65648067 0.         0.        ]]
296,55.421387,[[0.34785295 1.         0.        ]]
297,55.193882,[[-0.8257718  1.         0.       ]]
298,55.323433,[[1. 0. 0.]]
299,55.38001,[[1. 1. 0.]]
300,54.996284,[[-1.  1.  0.]]
301,55.83072,[[0.35363635 0.826839   0.        ]]
302,55.335297,[[-1.          0.46068943  0.        ]]
303,55.30074,[[-0.53395057  1.          0.        ]]
304,55.927624,[[0.9062443 0.        0.       ]]
305,55.899437,[[-0.33057153  0.42618358  0.        ]]
306,55.99705,[[-0.9024754   0.5228698   0.22328544]]
307,56.026333,[[1.        0.4647584 0.       ]]
308,56.111744,[[-1.  0.  0.]]
309,55.82136,[[0.04337126 1.         0.        ]]
310,56.0426,[[-0.9534249  1.         0.       ]]
311,55.36007,[[1. 1. 0.]]
312,55.380745,[[-0.31115693  1.          0.        ]]
313,55.328083,[[-1.        0.863159  0.      ]]
314,55.628117,[[0.3970965 1.        0.       ]]
315,55.861256,[[0.14618576 1.         0.        ]]
316,54.915207,[[-0.90569264  1.          0.        ]]
317,55.13489,[[-1.  1.  0.]]
318,54.14278,[[-1.          0.49468482  0.        ]]
319,54.471115,[[-1.  1.  0.]]
320,54.30079,[[-0.32579216  0.8918717   0.        ]]
321,55.06101,[[0.64804316 0.8051642  0.        ]]
322,54.300293,[[1.        0.6403216 0.       ]]
323,54.69009,[[0.9593836 1.        0.       ]]
324,55.267788,[[0.27514124 0.3102213  0.        ]]
325,55.973457,[[1. 1. 0.]]
326,54.854694,[[1.         0.63590246 0.        ]]
327,55.198883,[[-0.81574273  1.          0.        ]]
328,55.09697,[[0.7709058 1.        0.       ]]
329,54.450874,[[1. 1. 0.]]
330,55.496304,[[1. 1. 0.]]
331,55.598305,[[0.5324631  0.21483743 0.        ]]
332,54.600994,[[-1.          0.34767103  0.        ]]
333,55.276592,[[-1.  1.  0.]]
334,55.322647,[[-0.75898314  1.          0.        ]]
335,55.319553,[[-1.         0.9996217  0.       ]]
336,56.598103,[[-1.  0.  0.]]
337,57.091297,[[0.38953125 1.         0.        ]]
338,56.5509,[[-0.6136065  1.         0.       ]]
339,56.868782,[[-1.  1.  0.]]
340,56.56664,[[0.19647586 0.99021155 0.        ]]
341,56.655476,[[-1.  1.  0.]]
342,55.87453,[[-0.9467771  1.         0.       ]]
343,56.356247,[[-0.97722995  0.          0.        ]]
344,55.350655,[[-0.6714499  1.         0.       ]]
345,54.466976,[[-0.99891615  0.8890865   0.        ]]
346,55.068295,[[0.9257833 1.        0.       ]]
347,54.761753,[[1. 1. 0.]]
348,53.86105,[[-0.01657623  1.          0.        ]]
349,54.200733,[[1. 1. 0.]]
350,54.156578,[[1.         0.01296949 0.        ]]
351,54.986195,[[1. 1. 0.]]
352,54.250225,[[1.         0.18719399 0.        ]]
353,53.27735,[[1. 1. 0.]]
354,54.700367,[[1.        0.8725546 0.       ]]
355,54.52688,[[1. 1. 0.]]
356,54.783405,[[1.         0.85083765 0.        ]]
357,55.214943,[[0.57531667 1.         0.        ]]
358,55.815502,[[1. 1. 0.]]
359,56.708096,[[1. 1. 0.]]
360,56.869717,[[0.15861908 1.         0.        ]]
361,56.485,[[-1.  1.  0.]]
362,56.389572,[[-1.         0.8946724  0.       ]]
363,56.409733,[[-1.  1.  0.]]
364,55.60675,[[-1.          0.56500405  0.        ]]
365,55.854763,[[-1.         0.5551297  0.       ]]
366,54.559193,[[-1.  1.  0.]]
367,54.590008,[[-1.  1.  0.]]
368,54.549362,[[-1.         0.5200311  0.       ]]
369,53.51944,[[-1.  0.  0.]]
370,53.909943,[[-1.          0.08891636  0.        ]]
371,53.060184,[[-1.         0.9294747  0.       ]]
372,52.949078,[[-1.  1.  0.]]
373,52.103195,[[-1.  1.  0.]]
374,51.984173,[[-1.  0.  0.]]
375,50.755795,[[-1.  0.  0.]]
376,49.926163,[[-1.  1.  0.]]
377,49.12437,[[-1.        0.066322  0.      ]]
378,49.799038,[[-1.         0.2401534  0.       ]]
379,48.379395,[[-1.          0.72822404  0.        ]]
380,47.63149,[[-1.          0.87312156  0.        ]]
381,46.654743,[[-1.         0.7782117  0.       ]]
382,44.69248,[[-0.8092183  0.         0.       ]]
383,42.58951,[[-0.48625007  0.44424695  0.        ]]
384,41.096634,[[1. 1. 0.]]
385,39.908,[[0.3379768 0.        0.       ]]
386,41.411995,[[1. 1. 0.]]
387,42.686375,[[1. 0. 0.]]
388,43.59898,[[1. 1. 0.]]
389,46.356617,[[1.         0.48381078 0.        ]]
390,45.3896,[[0.765646 0.       0.      ]]
391,44.821712,[[1. 1. 0.]]
392,44.84658,[[1. 1. 0.]]
393,43.25091,[[0.47826552 1.         0.        ]]
394,44.039715,[[1.         0.29474837 0.        ]]
395,43.92912,[[0.9733285 0.        0.       ]]
396,44.08898,[[-1.  0.  0.]]
397,42.323215,[[1.        0.2685874 0.5900513]]
398,42.192886,[[1.        0.2551962 0.       ]]
399,42.02223,[[1. 1. 0.]]
400,41.35347,[[0.11111915 0.8383869  0.        ]]
401,40.34429,[[0.41606402 1.         0.        ]]
402,39.044453,[[1. 0. 0.]]
403,37.609066,[[1. 0. 0.]]
404,37.51589,[[0.45307177 0.50777984 0.        ]]
405,38.23226,[[1. 0. 0.]]
406,37.76262,[[1. 0. 0.]]
407,38.21224,[[1. 0. 0.]]
408,37.94508,[[1.       0.951024 0.      ]]
409,39.533836,[[1. 0. 0.]]
410,39.966564,[[1. 1. 0.]]
411,40.63533,[[1.        0.6264519 0.       ]]
412,41.560783,[[1.         0.72673225 0.        ]]
413,41.960987,[[-0.2083484   0.39268708  0.        ]]
414,42.92237,[[1. 0. 0.]]
415,43.867523,[[1. 0. 0.]]
416,45.427296,[[-0.47436476  0.6471467   0.        ]]
417,46.426598,[[1. 0. 0.]]
418,46.53244,[[1. 0. 0.]]
419,46.91607,[[1.         0.09278446 0.        ]]
420,46.101032,[[1. 0. 0.]]
421,45.89943,[[0.7084664  0.47870454 0.        ]]
422,45.61291,[[1. 1. 0.]]
423,46.487762,[[1.       0.638519 0.      ]]
424,46.493893,[[1.         0.03852928 0.        ]]
425,46.079235,[[1.         0.83695704 0.        ]]
426,47.93976,[[1.         0.25337332 0.        ]]
427,47.443356,[[1. 1. 0.]]
428,46.977825,[[1. 1. 0.]]
429,46.878654,[[-1.  1.  0.]]
430,45.853405,[[-1.          0.09072828  0.        ]]
431,46.548725,[[-1.          1.          0.62516725]]
432,47.08306,[[-1.  1.  0.]]
433,45.554577,[[-1.  1.  0.]]
434,43.985203,[[-1.  0.  0.]]
435,45.437042,[[-1.          0.04946458  0.        ]]
436,44.058903,[[-1.  0.  0.]]
437,43.00777,[[-1.         0.1377379  0.       ]]
438,39.0009,[[-1.  1.  0.]]
439,29.675892,[[-1.  0.  0.]]
440,19.41092,[[-1.          0.01626307  0.        ]]
441,11.200655,[[-1.  1.  0.]]
